MassSpecGymID0000201,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.4089819999999,806.3982,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000202,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.4089819999999,806.3982,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000203,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.408924,784.4162,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000204,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.408924,784.4162,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000205,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.408924,784.4162,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000206,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.408924,784.4162,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000207,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.4089819999999,806.3982,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000208,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.408924,784.4162,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000209,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.4095239999999,784.4168,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000210,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.4095239999999,784.4168,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000211,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.4095239999999,784.4168,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
MassSpecGymID0000212,GYSCAQFHASJXRS,C45H57N3O9,GYSCAQFHASJXRS,783.4095239999999,784.4168,24,CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
